"year" "q7a" "q7b" "q7c" "q7d" "q102a" "q102b" "q102c" "q102d" "q102e" "q102f" "q102g" "q104" "q105" "q106" "q107" "gender" "age" "degree" "sei" "ops" "marital" "q135" "n"
1992 2 3 2 1 1 1 1 1 1 1 1 2 2 1 2 "Female" 62 "Less than high school" 41 42 0 130 1
1992 1 3 2 1 1 1 1 1 1 8 1 4 1 1 1 "Female" 43 "Less than high school" 16 23 1 120 2
1992 2 4 3 3 1 1 1 1 1 1 1 4 3 3 3 "Female" 27 "High school" 55 46 0 200 2
1992 2 3 2 2 1 1 1 1 1 1 1 4 2 1 2 "Female" 36 "High school" 43 32 1 300 4
1992 3 3 2 2 1 8 1 8 1 8 8 2 1 1 3 "Female" 41 "Less than high school" 29 32 1 200 5
1992 3 2 2 2 1 1 1 1 1 1 1 3 1 1 4 "Female" 60 "Less than high school" 25 17 0 NA 1
1992 2 4 3 2 1 1 1 1 1 1 1 4 2 1 2 "Male" 42 "Less than high school" 19 31 1 220 4
1992 4 1 1 1 1 2 1 2 1 1 2 3 1 1 3 "Female" 79 "Less than high school" 25 23 0 140 1
1992 3 1 1 1 2 2 2 2 2 2 2 3 1 1 2 "Male" 66 "Less than high school" 40 40 1 200 2
1992 4 2 1 1 1 1 1 1 1 1 2 4 1 1 2 "Male" 59 "High school" 31 33 0 85 1
1992 2 3 3 3 1 1 1 1 1 1 1 4 3 8 4 "Male" 45 "Less than high school" 34 33 1 100 4
1992 1 2 1 1 1 2 1 2 1 2 2 4 8 8 2 "Female" 60 "More than high school" 38 44 1 300 2
1992 1 2 1 2 1 1 1 1 1 1 8 4 3 3 2 "Female" 49 "Less than high school" 40 38 0 250 3
1992 2 1 2 2 1 1 1 1 1 1 1 8 3 8 2 "Male" 58 "Less than high school" 40 40 1 400 2
1992 4 2 2 1 1 1 1 1 1 8 1 4 2 4 2 "Female" 67 "High school" 39 36 1 250 2
1992 4 4 1 2 1 2 1 2 2 2 2 2 2 1 3 "Male" 64 "More than high school" 68 65 1 330 2
1992 3 2 2 1 1 2 2 2 2 2 2 2 1 1 3 "Male" 64 "Less than high school" 67 60 1 370 2
1992 2 3 4 3 1 1 1 1 1 1 2 4 2 1 2 "Male" 30 "Less than high school" 36 38 0 550 4
1992 3 2 1 1 2 2 8 2 8 2 2 2 1 1 3 "Female" 62 "High school" 39 33 0 290 3
1992 2 4 2 2 1 2 1 2 1 2 2 4 1 4 3 "Male" 52 "More than high school" 64 57 1 500 3
1992 2 3 2 3 1 1 1 1 1 1 2 4 8 8 2 "Female" 50 "High school" 51 36 0 150 2
1992 2 3 3 3 1 1 1 1 1 1 1 3 2 1 4 "Female" 63 "More than high school" 38 50 0 200 1
1992 2 2 1 1 1 1 1 1 1 1 1 3 3 4 2 "Female" 66 "Less than high school" 43 32 0 440 2
1992 3 3 2 8 1 1 1 1 1 1 1 4 1 4 8 "Male" 38 "More than high school" 67 66 0 420 1
1992 2 3 3 3 1 1 1 1 1 1 1 4 2 1 2 "Male" 59 "More than high school" 77 78 1 1000 2
1992 2 1 1 3 2 2 1 2 1 2 2 1 1 1 1 "Female" 77 "High school" 51 49 0 140 1
1992 1 1 1 1 1 1 1 1 1 1 1 3 3 8 3 "Male" 46 "Less than high school" 23 13 1 400 2
1992 3 2 2 1 1 1 1 1 1 1 1 4 1 1 1 "Male" 36 "Less than high school" 34 32 0 100 3
1992 2 2 2 1 1 1 1 1 1 1 1 4 1 1 4 "Male" 31 "More than high school" 51 50 1 500 3
1992 2 3 2 3 1 1 1 1 1 1 8 3 2 2 4 "Male" 60 "More than high school" 73 63 1 350 2
1992 2 3 2 3 1 1 1 1 1 8 8 3 2 1 3 "Female" 57 "Less than high school" 20 18 1 90 2
1992 3 2 1 1 1 1 1 1 1 1 2 4 1 1 4 "Male" 74 "High school" 56 55 1 250 2
1992 1 3 2 1 1 1 1 1 1 1 1 4 3 1 4 "Male" 42 "Less than high school" 43 32 1 400 1
1992 3 2 2 1 1 1 1 1 1 1 1 3 2 2 4 "Male" 56 "Less than high school" 40 40 1 300 2
1992 3 2 2 2 2 2 2 2 2 2 2 1 1 1 2 "Female" 37 "More than high school" 88 78 0 250 1
