"pgssyear" "q7a" "q7b" "q7c" "q7d" "gender" "age"
1992 2 3 2 1 "Female" 62
1992 1 3 2 1 "Female" 43
1992 2 4 3 3 "Female" 27
1992 2 3 2 2 "Female" 36
1992 3 3 2 2 "Female" 41
1992 3 2 2 2 "Female" 60
1992 2 4 3 2 "Male" 42
1992 4 1 1 1 "Female" 79
1992 3 1 1 1 "Male" 66
1992 4 2 1 1 "Male" 59
1992 2 3 3 3 "Male" 45
1992 1 2 1 1 "Female" 60
1992 1 2 1 2 "Female" 49
1992 2 1 2 2 "Male" 58
1992 4 2 2 1 "Female" 67
1992 4 4 1 2 "Male" 64
1992 3 2 2 1 "Male" 64
1992 2 3 4 3 "Male" 30
1992 3 2 1 1 "Female" 62
1992 2 4 2 2 "Male" 52
1992 2 3 2 3 "Female" 50
1992 2 3 3 3 "Female" 63
1992 2 2 1 1 "Female" 66
1992 3 3 2 8 "Male" 38
1992 2 3 3 3 "Male" 59
1992 2 1 1 3 "Female" 77
1992 1 1 1 1 "Male" 46
1992 3 2 2 1 "Male" 36
1992 2 2 2 1 "Male" 31
1992 2 3 2 3 "Male" 60
1992 2 3 2 3 "Female" 57
1992 3 2 1 1 "Male" 74
1992 1 3 2 1 "Male" 42
1992 3 2 2 1 "Male" 56
1992 3 2 2 2 "Female" 37
1992 3 8 2 1 "Male" 41
1992 4 4 1 1 "Female" 38
1992 4 3 1 4 "Female" 32
1992 3 3 2 3 "Male" 37
1992 3 2 2 2 "Male" 29
1992 4 3 1 1 "Female" 44
1992 3 3 2 2 "Female" 56
1992 2 3 2 1 "Female" 43
1992 1 3 1 1 "Male" 60
1992 2 4 3 1 "Female" 48
1992 3 3 1 1 "Female" 41
1992 3 2 3 2 "Female" 37
1992 2 2 2 1 "Male" 65
1992 4 3 1 1 "Female" 71
1992 2 1 1 1 "Male" 75
1992 4 4 1 2 "Female" 68
1992 1 1 2 1 "Male" 49
1992 2 3 2 2 "Female" 43
1992 3 2 2 2 "Male" 23
1992 1 1 1 1 "Male" 82
1992 3 2 2 2 "Female" 39
1992 2 4 4 3 "Male" 40
1992 3 3 2 2 "Female" 75
1992 3 1 1 1 "Female" 70
1992 2 3 2 2 "Female" 43
1992 2 1 3 2 "Female" 69
1992 4 3 1 2 "Female" 41
1992 2 8 2 1 "Female" 77
1992 2 3 1 3 "Female" 39
1992 3 2 2 2 "Male" 51
1992 2 3 2 2 "Male" 55
1992 2 4 2 3 "Female" 34
1992 2 3 2 2 "Female" 46
1992 3 3 2 2 "Female" 39
